DAY & DATE,TIME,LEVEL ,COURSE CODE, COURSE TITLE,NO. OF STDS,SEATS,VENUE,FACULTY,DEPARTMENT ,INVIG,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300MAT ,EDC 351,GUIDANCE & COUNSELLING ,95,001-END ,NLB 4 ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300AGR ,EDC 351,GUIDANCE & COUNSELLING ,174, ,NLT ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300NRM ,EDC 351,GUIDANCE & COUNSELLING ,124, ,LBSF ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300ATI ,EDC 351,GUIDANCE & COUNSELLING ,55, ,LGFI ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300ATI ,EDC 351,GUIDANCE & COUNSELLING ,9, ,LBFF ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300EHS ,EDC 351,GUIDANCE & COUNSELLING ,129,001 – 080 ,SLT HSE 2 ,FEHE,DES,,,,,,,
"Wednesday, April 8, 2026",13:00 -15:00,300EHS ,EDC 351,GUIDANCE & COUNSELLING ,129,081 - END ,LBRR ,FEHE,DES,,,,,,,
"Thursday, April 9, 2026 ",07:00-09:00,400 PHS,PHS 473,PUBLIC HEALTH ENTRPRENEURSHIP,750,001-100,NLB 1,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026 ",07:00-09:00,400 PHS,PHS 473,PUBLIC HEALTH ENTRPRENEURSHIP,750,101-200,NLB 2,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,400 PHS,PHS 473,PUBLIC HEALTH ENTRPRENEURSHIP,750,201-300,NLB3,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,400 PHS,PHS 473,PUBLIC HEALTH ENTRPRENEURSHIP,750,301-400,NLB 4,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,400 PHS,PHS 473,PUBLIC HEALTH ENTRPRENEURSHIP,750,401-500,CHAPEL,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,400 PHS,PHS 473,PUBLIC HEALTH ENTRPRENEURSHIP,750,501-600,OLD LIB,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,400 PHS,PHS 473,PUBLIC HEALTH ENTRPRENEURSHIP,750,601-680,LT 3,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,400 PHS,PHS 473,PUBLIC HEALTH ENTRPRENEURSHIP,750,681-END,EXT 1,FEHE,PHE,,,,,,,
"Thursday, April 9, 2026",07:00-09:00,200PHS ,PHS 236,NUTRITION IN PUBLIC HEALTH,410,HP - 001-130,SPT COM,FEHE,PHE,,, ,,,,
